VV,VH,smap_am,soil_moisture
-8.262158012999999,-13.41536507,0.596228122711,0.18899999999999997
-11.22606695,-17.138116399999998,0.135315716267,0.027999999999999997
-14.94221232,-22.79714809,0.058378059417,0.03
-14.43007854,-20.75734438,0.20630192756700003,0.26899999999999996
-14.23175998,-20.15434265,0.114557541907,0.225
-8.861835531,-14.64028677,0.494390308857,0.09300000000000001
-13.92224965,-19.376779,0.256778568029,0.095
-11.34,-16.25,0.228592783213,0.145
-8.52,-14.87,0.315850704908,0.157
-13.04548603,-19.31847746,0.145950675011,0.016
-12.28678362,-19.20863063,0.0837820768356,0.276
-4.961808465,-11.33575178,0.0540353544056,0.19899999999999998
-11.18227028,-17.54099735,0.161924168468,0.087
-7.364584616,-12.96436378,0.350624442101,0.387
-7.364584616,-12.96436378,0.350624442101,0.21899999999999997
-12.37634324,-18.9767581,0.188411608338,0.157
-8.61209145,-13.96337183,0.40424907207500005,0.158
-14.315053500000001,-21.03508066,0.141556560993,0.429
-13.77855445,-20.61775523,0.14217098057299998,0.016
-12.60371159,-20.40950593,0.0951758623123,0.37200000000000005
-8.074311497,-14.19891558,0.224211886525,0.091
-7.862955857999999,-13.75900063,0.283011198044,0.16399999999999998
-8.624809902,-14.071573800000001,0.260835200548,0.18600000000000003
-3.543918135,-9.518706,0.0653981417418,0.19399999999999998
-10.26038746,-16.4153373,0.212424099445,0.163
-9.547148692,-14.74359718,0.24567304551600003,0.034
-9.547148692,-14.74359718,0.20868012309099998,0.242
-9.624433271000001,-14.73833957,0.231505334377,0.14800000000000002
-8.593058785,-14.3768721,0.272645026445,0.017
-8.593058785,-14.3768721,0.272645026445,0.013999999999999999
-8.593058785,-14.3768721,0.272645026445,0.023
-8.81613098,-14.27666792,0.285132110119,0.389
-8.5531034,-14.08699849,0.217186659575,0.179
-8.234501822,-13.8697821,0.263013511896,0.09
-4.978915277,-9.897677324,0.070087313652,0.33
-8.470193262,-14.01890669,0.23751206696,0.131
-9.49203729,-15.19720549,0.17394021153499997,0.039
-8.966103476,-13.93466394,0.243587046862,0.037000000000000005
-11.46480302,-16.86215189,0.125179857016,0.078
-11.9078455,-17.64693225,0.115916192532,0.20600000000000002
-10.34164463,-16.77782246,0.0,0.035
-7.49437515,-13.48455226,0.36996871233,0.035
-7.49437515,-13.48455226,0.36996871233,0.019
-7.048516053999999,-13.53125275,0.3541238904,0.038
-10.16479505,-15.83479505,0.29283222556099997,0.18100000000000002
-8.430150487999999,-14.806832199999999,0.335053741932,0.13699999999999998
-9.033214427999999,-14.61719461,0.199893862009,0.22899999999999998
-7.644128482,-13.30989071,0.0,0.039
-8.545424041,-13.96508882,0.339667022228,0.08900000000000001
-7.822140686,-14.89700216,0.271323084831,0.107
-9.595163249,-15.22416093,0.206376463175,0.131
-10.35308377,-15.78483145,0.15191228687799999,0.254
-7.888479772999999,-13.59376444,0.292867958546,0.162
-8.183665892,-13.84540181,0.299113810062,0.087
-6.214824261,-12.25628841,0.34179368615199995,0.11699999999999999
-8.772420406,-14.72160451,0.291962444782,0.055
-9.632299183999999,-14.89009286,0.357234418392,0.134
-8.482750891,-14.87004036,0.412978321314,0.122
-6.466151889,-12.37876538,0.0813956782222,0.418
-8.795294457999999,-14.46829039,0.393518596888,0.126
-7.1365347329999995,-15.96755005,0.0677561163902,0.046
-14.94982447,-25.10534037,0.11359255015900001,0.371
-8.711079196,-14.94699129,0.42956322431599997,0.312
-13.0229283,-21.47954609,0.0948319584131,0.07400000000000001
-12.62494938,-20.61980214,0.11657787114399999,0.413
-15.97326977,-23.88223897,0.110335558653,0.48200000000000004
-6.507200577000001,-14.46817147,0.0972642675042,0.353
-11.12522556,-18.63544939,0.11745852232000001,0.302
-5.319751885,-12.51733232,0.250992834568,0.369
-8.019512062,-14.10016263,0.398084253073,0.278
-7.936923142,-13.75897961,0.277708142996,0.252
-12.16338499,-21.78081935,0.0484242923558,0.40299999999999997
-15.92168332,-23.70380166,0.0913248509169,0.42700000000000005
-9.97324712,-18.29572255,0.0806711763144,0.03
-12.81993509,-21.17336643,0.16943421959899999,0.228
-8.967662792999999,-15.71088605,0.12586003541899998,0.335
-15.72752622,-24.75822855,0.111697547138,0.35
-6.949632126,-14.43885234,0.38237616419799997,0.429
-13.32107994,-21.08799718,0.100641526282,0.239
-13.04322168,-21.13340729,0.08408591151239998,0.086
-12.50000408,-18.92891361,0.118503250182,0.159
-9.501411492999999,-18.88864029,0.152076676488,0.414
-11.65336847,-19.32713011,0.09784118086100001,0.275
-15.97514609,-23.44957574,0.14910602569599998,0.10300000000000001
-5.301910599,-18.42155601,0.14344005286699998,0.342
-13.95708003,-23.19349671,0.0791031718254,0.098
-6.662644831000001,-11.99240203,0.364067435265,0.225
-12.32859416,-19.49559517,0.16701836884000001,0.22899999999999998
-8.03,-14.36,0.128436893225,0.324
-15.09326465,-25.06913047,0.110173791647,0.34
-4.262750916,-11.55853462,0.15763349831100001,0.037000000000000005
-13.06552577,-20.69557521,0.0864951610565,0.067
-14.26112554,-22.23746989,0.09264946728939999,0.23199999999999998
-11.85127387,-18.18556678,0.0634846761823,0.353
-12.9087849,-18.86226953,0.07789029181,0.134
-11.72938269,-18.87437546,0.123636938632,0.081
-13.19894898,-21.42464506,0.0867758616805,0.08199999999999999
-14.25689275,-23.21325373,0.113202355802,0.152
-12.48387843,-20.34510531,0.0965865030885,0.249
-12.39499111,-21.65782163,0.130468279123,0.10300000000000001
-6.492223484,-12.65530787,0.304260492325,0.265
-5.113610747,-14.93021444,0.118615239859,0.40700000000000003
-8.472097649,-14.28298836,0.112740837038,0.275
